Dim1,Dim2
0.66887796,0.857668
0.5265335,0.8068626
0.20571133,0.6679545
0.3854144,0.61008424
0.58261603,0.032170415
0.3174227,0.10932696
0.47343835,0.02443862
0.326972,0.09755176
0.035930783,0.6179444
0.943267,0.7233962
0.24486561,0.80336165
0.16717038,0.6122925
0.67458993,0.69638616
0.12793195,0.42945072
0.14756331,0.4450346
0.5982602,0.28049433
0.7106828,0.7670816
0.60903084,0.71099055
0.03294134,0.46610314
0.66461265,0.6057787
0.36909872,0.45044056
0.7570448,0.8674804
0.56763077,0.9151504
0.10927245,0.69241196
0.4169612,0.8295115
0.4274122,0.72883344
0.2839234,0.60364056
0.20725325,0.4845585
0.5350935,0.48515034
0.19036198,0.37971234
0.47137386,0.3374257
0.092247784,0.3085193
0.2411238,0.8040506
0.45850947,0.723715
0.4799752,0.6455072
0.30545127,0.60216177
0.7316965,0.62531066
0.5074012,0.4841552
0.49833587,0.43067968
0.6493399,0.37211454
0.32245386,0.8831712
0.72179294,0.7802248
0.31398875,0.71384126
0.482101,0.67177796
0.42889872,0.5786524
0.19122562,0.45424026
0.3388517,0.2743235
0.69906604,0.2480168
0.34182876,0.19882637
0.19838506,0.7473221
0.5193685,0.96423423
0.8174083,0.7709945
0.89474475,0.6238942
0.8341865,0.6517246
0.2665491,0.5182896
0.9608798,0.6831509
0.13492113,0.35082144
0.31698468,0.3420874
0.43971425,0.2816527
0.12950116,0.32679224
0.6107969,0.18775243
0.8128646,0.8583064
0.4519353,0.9405869
0.7262448,0.8305766
0.57088876,0.81337786
0.42782748,0.70578617
0.18587822,0.5875151
0.53840566,0.5729137
0.56078726,0.5015731
0.7564004,0.4362514
0.2846622,0.2503434
0.65864825,0.23953834
0.6359338,0.9169549
0.921104,0.7433225
0.401535,0.7164341
0.5731143,0.64930975
0.74708635,0.5896439
0.24038324,0.4301257
0.5391143,0.86494017
0.7798784,0.78734434
0.66726243,0.7219903
0.7001871,0.63790345
0.6240344,0.60693455
0.63400674,0.505457
0.20244214,0.36569136
0.61940384,0.3437886
0.27102023,0.27643487
0.29719818,0.238843
0.38384557,0.88806933
0.3417084,0.8108786
0.5253522,0.6771713
0.21608213,0.6056497
0.680834,0.57113665
0.50310564,0.4738761
0.16465297,0.37090945
0.22131348,0.34601218
0.6927508,0.29751623
0.45606905,0.22995198
0.51130325,0.2027789
0.6457696,0.13617465
0.101344496,0.662629
0.52108663,0.5767385
0.2586837,0.6032021
0.810156,0.55138195
0.44812584,0.51738274
0.7671832,0.46942437
0.6739377,0.36557123
0.12786919,0.32259947
0.55853283,0.24182907
0.81768525,0.32689714
0.4802775,0.14310059
0.5306407,0.10401434
0.47152132,0.98476076
0.6947535,0.8855977
0.63035923,0.7003709
