Season,Lg,Player
2018-19,NBA,Pascal Siakam
2017-18,NBA,Victor Oladipo
2016-17,NBA,Giannis Antetokounmpo
2015-16,NBA,CJ McCollum
2014-15,NBA,Jimmy Butler
2013-14,NBA,Goran Dragić
2012-13,NBA,Paul George
2011-12,NBA,Ryan Anderson
2010-11,NBA,Kevin Love
2009-10,NBA,Aaron Brooks
2008-09,NBA,Danny Granger
2007-08,NBA,Hedo Türkoğlu
2006-07,NBA,Monta Ellis
2005-06,NBA,Boris Diaw
2004-05,NBA,Bobby Simmons
2003-04,NBA,Zach Randolph
2002-03,NBA,Gilbert Arenas
2001-02,NBA,Jermaine O'Neal
2000-01,NBA,Tracy McGrady
1999-00,NBA,Jalen Rose
1998-99,NBA,Darrell Armstrong
1997-98,NBA,Alan Henderson
1996-97,NBA,Isaac Austin
1995-96,NBA,Gheorghe Mureșan
1994-95,NBA,Dana Barros
1993-94,NBA,Don MacLean
1992-93,NBA,Mahmoud Abdul-Rauf
1991-92,NBA,Pervis Ellison
1990-91,NBA,Scott Skiles
1989-90,NBA,Rony Seikaly
1988-89,NBA,Kevin Johnson
1987-88,NBA,Kevin Duckworth
1986-87,NBA,Dale Ellis
1985-86,NBA,Alvin Robertson
