Name,Age,Tm,WS,WS/48,Season,Surname,First Name,PlayerID
Alaa Abdelnaby,22.0,POR,0.5,0.079,1990-91,Abdelnaby,Alaa,1
Alaa Abdelnaby,23.0,POR,2.1,0.11,1991-92,Abdelnaby,Alaa,1
Alaa Abdelnaby,24.0,TOT,2.0,0.07400000000000001,1992-93,Abdelnaby,Alaa,1
Alaa Abdelnaby,24.0,MIL,0.1,0.035,1992-93,Abdelnaby,Alaa,1
Alaa Abdelnaby,24.0,BOS,1.9,0.079,1992-93,Abdelnaby,Alaa,1
Alaa Abdelnaby,25.0,BOS,-0.1,-0.032,1993-94,Abdelnaby,Alaa,1
Alaa Abdelnaby,26.0,TOT,0.3,0.027000000000000003,1994-95,Abdelnaby,Alaa,1
Alaa Abdelnaby,26.0,SAC,0.6,0.057999999999999996,1994-95,Abdelnaby,Alaa,1
Alaa Abdelnaby,26.0,PHI,-0.3,-0.466,1994-95,Abdelnaby,Alaa,1
Kareem Abdul-Jabbar,33.0,LAL,14.3,0.23,1980-81,Abdul-Jabbar,Kareem,2
Kareem Abdul-Jabbar,34.0,LAL,10.7,0.192,1981-82,Abdul-Jabbar,Kareem,2
Kareem Abdul-Jabbar,35.0,LAL,10.9,0.205,1982-83,Abdul-Jabbar,Kareem,2
Kareem Abdul-Jabbar,36.0,LAL,8.9,0.163,1983-84,Abdul-Jabbar,Kareem,2
Kareem Abdul-Jabbar,37.0,LAL,11.2,0.204,1984-85,Abdul-Jabbar,Kareem,2
Kareem Abdul-Jabbar,38.0,LAL,10.8,0.19699999999999998,1985-86,Abdul-Jabbar,Kareem,2
Kareem Abdul-Jabbar,39.0,LAL,7.5,0.14800000000000002,1986-87,Abdul-Jabbar,Kareem,2
Kareem Abdul-Jabbar,40.0,LAL,5.3,0.111,1987-88,Abdul-Jabbar,Kareem,2
Kareem Abdul-Jabbar,41.0,LAL,2.9,0.08199999999999999,1988-89,Abdul-Jabbar,Kareem,2
Mahmoud Abdul-Rauf,21.0,DEN,-1.0,-0.031,1990-91,Abdul-Rauf,Mahmoud,3
Mahmoud Abdul-Rauf,22.0,DEN,0.6,0.018000000000000002,1991-92,Abdul-Rauf,Mahmoud,3
Mahmoud Abdul-Rauf,23.0,DEN,5.1,0.091,1992-93,Abdul-Rauf,Mahmoud,3
Mahmoud Abdul-Rauf,24.0,DEN,6.8,0.125,1993-94,Abdul-Rauf,Mahmoud,3
